"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"1","GO:0000166","nucleotide binding",83,83,83,1,"1","0.791","1"
"2","GO:0000287","magnesium ion binding",10,10,10,2,"1","0.331","1"
"3","GO:0000976","transcription cis-regulatory region bind...",57,57,57,3,"1","0.661","1"
"4","GO:0000977","RNA polymerase II transcription regulato...",51,51,51,4,"1","0.647","1"
"5","GO:0000978","RNA polymerase II cis-regulatory region ...",46,46,46,5,"1","0.720","1"
"6","GO:0000981","DNA-binding transcription factor activit...",49,49,49,6,"1","0.758","1"
"7","GO:0000987","cis-regulatory region sequence-specific ...",48,48,48,7,"1","0.689","1"
"8","GO:0001067","transcription regulatory region nucleic ...",57,57,57,8,"1","0.661","1"
"9","GO:0001216","DNA-binding transcription activator acti...",17,17,17,9,"1","0.970","1"
"10","GO:0001217","DNA-binding transcription repressor acti...",18,18,18,10,"1","0.139","1"
"11","GO:0001227","DNA-binding transcription repressor acti...",17,17,17,11,"1","0.068","1"
"12","GO:0001228","DNA-binding transcription activator acti...",17,17,17,12,"1","0.970","1"
"13","GO:0001664","G protein-coupled receptor binding",13,13,13,13,"1","0.218","1"
"14","GO:0002020","protease binding",11,11,11,14,"1","0.102","1"
"15","GO:0003674","molecular_function",594,594,594,15,"1","1.000","1"
"16","GO:0003676","nucleic acid binding",130,130,130,16,"1","0.931","1"
"17","GO:0003677","DNA binding",90,90,90,17,"1","0.628","1"
"18","GO:0003682","chromatin binding",24,24,24,18,"1","0.598","1"
"19","GO:0003690","double-stranded DNA binding",65,65,65,19,"1","0.866","1"
"20","GO:0003700","DNA-binding transcription factor activit...",50,50,50,20,"1","0.787","1"
"21","GO:0003712","transcription coregulator activity",12,12,12,21,"1","0.136","1"
"22","GO:0003723","RNA binding",48,48,48,22,"1","0.974","1"
"23","GO:0003729","mRNA binding",18,18,18,23,"1","0.659","1"
"24","GO:0003779","actin binding",19,19,19,24,"1","0.076","1"
"25","GO:0003824","catalytic activity",193,193,193,25,"1","0.905","1"
"26","GO:0003924","GTPase activity",14,14,14,26,"1","0.887","1"
"27","GO:0004175","endopeptidase activity",14,14,14,27,"1","0.373","1"
"28","GO:0004672","protein kinase activity",25,25,25,28,"1","0.620","1"
"29","GO:0004674","protein serine/threonine kinase activity",18,18,18,29,"1","0.426","1"
"30","GO:0004712","protein serine/threonine/tyrosine kinase...",19,19,19,30,"1","0.563","1"
"31","GO:0004721","phosphoprotein phosphatase activity",10,10,10,31,"1","0.862","1"
"32","GO:0004842","ubiquitin-protein transferase activity",21,21,21,32,"1","0.632","1"
"33","GO:0004857","enzyme inhibitor activity",14,14,14,33,"1","0.024","1"
"34","GO:0004888","transmembrane signaling receptor activit...",33,33,33,34,"1","0.693","1"
"35","GO:0004930","G protein-coupled receptor activity",11,11,11,35,"1","0.560","1"
"36","GO:0005085","guanyl-nucleotide exchange factor activi...",16,16,16,36,"1","0.934","1"
"37","GO:0005102","signaling receptor binding",76,76,76,37,"1","0.217","1"
"38","GO:0005126","cytokine receptor binding",13,13,13,38,"1","0.739","1"
"39","GO:0005178","integrin binding",10,10,10,39,"1","0.636","1"
"40","GO:0005179","hormone activity",10,10,10,40,"1","0.044","1"
"41","GO:0005198","structural molecule activity",22,22,22,41,"1","0.326","1"
"42","GO:0005201","extracellular matrix structural constitu...",14,14,14,42,"1","0.250","1"
"43","GO:0005215","transporter activity",37,37,37,43,"1","0.760","1"
"44","GO:0005488","binding",561,561,561,44,"1","0.338","1"
"45","GO:0005509","calcium ion binding",33,33,33,45,"1","0.634","1"
"46","GO:0005515","protein binding",499,499,499,46,"1","0.359","1"
"47","GO:0005524","ATP binding",62,62,62,47,"1","0.776","1"
"48","GO:0005525","GTP binding",16,16,16,48,"1","0.941","1"
"49","GO:0005539","glycosaminoglycan binding",17,17,17,49,"1","0.363","1"
"50","GO:0005543","phospholipid binding",19,19,19,50,"1","0.905","1"
