"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"1","GO:0003674","molecular_function",1154,1154,1154,1,"1","0.067","0.00087"
"2","GO:0005488","binding",1085,1085,1085,2,"1","0.446","0.06061"
"3","GO:0005515","protein binding",965,965,965,3,"1","0.198","0.16450"
"4","GO:0043167","ion binding",429,429,429,4,"1","0.569","0.62857"
"5","GO:0097159","organic cyclic compound binding",414,414,414,5,"1","0.767","0.64156"
"6","GO:1901363","heterocyclic compound binding",407,407,407,6,"1","0.923","0.64762"
"7","GO:0003824","catalytic activity",342,342,342,7,"1","0.757","0.70390"
"8","GO:0043169","cation binding",313,313,313,8,"1","0.694","0.72900"
"9","GO:0046872","metal ion binding",307,307,307,9,"1","0.664","0.73420"
"10","GO:0003676","nucleic acid binding",271,271,271,10,"1","0.974","0.76537"
"11","GO:0019899","enzyme binding",186,186,186,11,"1","0.814","0.83896"
"12","GO:0098772","molecular function regulator activity",182,182,182,12,"1","0.459","0.84242"
"13","GO:0042802","identical protein binding",179,179,179,13,"1","0.594","0.84502"
"14","GO:0036094","small molecule binding",178,178,178,14,"1","0.456","0.84589"
"15","GO:0097367","carbohydrate derivative binding",176,176,176,15,"1","0.678","0.84762"
"16","GO:0043168","anion binding",168,168,168,16,"1","0.300","0.85455"
"17","GO:0003677","DNA binding",164,164,164,17,"1","0.209","0.85801"
"18","GO:0140096","catalytic activity, acting on a protein",160,160,160,18,"1","0.804","0.86147"
"19","GO:0005102","signaling receptor binding",156,156,156,19,"1","0.089","0.86494"
"20","GO:0016787","hydrolase activity",153,153,153,20,"1","0.904","0.86753"
"21","GO:0000166","nucleotide binding",143,143,143,21,"1","0.745","0.87619"
"22","GO:1901265","nucleoside phosphate binding",143,143,143,22,"1","0.745","0.87619"
"23","GO:0016740","transferase activity",142,142,142,23,"1","0.781","0.87706"
"24","GO:0140110","transcription regulator activity",135,135,135,24,"1","0.162","0.88312"
"25","GO:0032553","ribonucleotide binding",133,133,133,25,"1","0.665","0.88485"
"26","GO:0017076","purine nucleotide binding",132,132,132,26,"1","0.690","0.88571"
"27","GO:0032555","purine ribonucleotide binding",132,132,132,27,"1","0.690","0.88571"
"28","GO:0035639","purine ribonucleoside triphosphate bindi...",130,130,130,28,"1","0.516","0.88745"
"29","GO:0003723","RNA binding",125,125,125,29,"1","0.999","0.89177"
"30","GO:0003690","double-stranded DNA binding",123,123,123,30,"1","0.642","0.89351"
"31","GO:0043565","sequence-specific DNA binding",119,119,119,31,"1","0.343","0.89697"
"32","GO:1990837","sequence-specific double-stranded DNA bi...",116,116,116,32,"1","0.499","0.89957"
"33","GO:0000976","transcription cis-regulatory region bind...",112,112,112,33,"1","0.418","0.90303"
"34","GO:0001067","transcription regulatory region nucleic ...",112,112,112,34,"1","0.418","0.90303"
"35","GO:0044877","protein-containing complex binding",109,109,109,35,"1","0.206","0.90563"
"36","GO:0030234","enzyme regulator activity",106,106,106,36,"1","0.839","0.90823"
"37","GO:0000977","RNA polymerase II transcription regulato...",104,104,104,37,"1","0.368","0.90996"
"38","GO:0003700","DNA-binding transcription factor activit...",104,104,104,38,"1","0.269","0.90996"
"39","GO:0000981","DNA-binding transcription factor activit...",103,103,103,39,"1","0.252","0.91082"
"40","GO:0030554","adenyl nucleotide binding",103,103,103,40,"1","0.744","0.91082"
"41","GO:0032559","adenyl ribonucleotide binding",103,103,103,41,"1","0.744","0.91082"
"42","GO:0005524","ATP binding",101,101,101,42,"1","0.549","0.91255"
"43","GO:0000987","cis-regulatory region sequence-specific ...",98,98,98,43,"1","0.451","0.91515"
"44","GO:0000978","RNA polymerase II cis-regulatory region ...",95,95,95,44,"1","0.528","0.91775"
"45","GO:0005198","structural molecule activity",92,92,92,45,"1","0.059","0.92035"
"46","GO:0046983","protein dimerization activity",88,88,88,46,"1","0.459","0.92381"
"47","GO:0050839","cell adhesion molecule binding",83,83,83,47,"1","0.547","0.92814"
"48","GO:0019900","kinase binding",81,81,81,48,"1","0.287","0.92987"
"49","GO:0038023","signaling receptor activity",80,80,80,49,"1","0.885","0.93074"
"50","GO:0060089","molecular transducer activity",80,80,80,50,"1","0.885","0.93074"
